Gender,Age,Dur,PPV
Male,0,20,15.195
Male,0,21,15.74
Male,0,22,16.27
Male,0,23,16.78
Male,0,24,17.27
Male,0,25,17.75
Male,0,26,18.22
Male,0,27,18.67
Male,0,28,19.11
Male,0,29,19.53
Male,0,30,19.94
Male,0,31,20.34
Male,0,32,20.73
Male,0,33,21.11
Male,0,34,21.47
Male,0,35,21.81
Male,0,36,22.16
Male,0,37,22.5
Male,0,38,22.81
Male,0,39,23.12
Male,0,40,23.42
Male,0,41,23.72
Male,0,42,24.0
Male,0,43,24.28
Male,0,44,24.55
Male,0,45,24.8
Male,0,46,25.05
Male,0,47,25.28
Male,0,48,25.52
Male,0,49,25.75
Male,0,50,25.97
Male,1,19,14.64
Male,1,20,15.195
Male,1,21,15.74
Male,1,22,16.27
Male,1,23,16.78
Male,1,24,17.27
Male,1,25,17.75
Male,1,26,18.22
Male,1,27,18.67
Male,1,28,19.11
Male,1,29,19.53
Male,1,30,19.94
Male,1,31,20.34
Male,1,32,20.72
Male,1,33,21.1
Male,1,34,21.47
Male,1,35,21.81
Male,1,36,22.16
Male,1,37,22.48
Male,1,38,22.81
Male,1,39,23.12
Male,1,40,23.42
Male,1,41,23.72
Male,1,42,24.0
Male,1,43,24.27
Male,1,44,24.53
Male,1,45,24.8
Male,1,46,25.05
Male,1,47,25.28
Male,1,48,25.52
Male,1,49,25.73
Male,1,50,25.95
Male,2,18,14.06
Male,2,19,14.63
Male,2,20,15.195
Male,2,21,15.734
Male,2,22,16.27
Male,2,23,16.78
Male,2,24,17.27
Male,2,25,17.75
Male,2,26,18.22
Male,2,27,18.66
Male,2,28,19.1
Male,2,29,19.53
Male,2,30,19.94
Male,2,31,20.33
Male,2,32,20.72
Male,2,33,21.1
Male,2,34,21.45
Male,2,35,21.81
Male,2,36,22.16
Male,2,37,22.48
Male,2,38,22.8
Male,2,39,23.11
Male,2,40,23.42
Male,2,41,23.7
Male,2,42,23.98
Male,2,43,24.27
Male,2,44,24.53
Male,2,45,24.78
Male,2,46,25.03
Male,2,47,25.27
Male,2,48,25.5
Male,2,49,25.72
Male,2,50,25.94
Male,3,17,13.46
Male,3,18,14.055
Male,3,19,14.63
Male,3,20,15.195
Male,3,21,15.734
Male,3,22,16.27
Male,3,23,16.77
Male,3,24,17.27
Male,3,25,17.75
Male,3,26,18.2
Male,3,27,18.66
Male,3,28,19.1
Male,3,29,19.52
Male,3,30,19.94
Male,3,31,20.33
Male,3,32,20.72
Male,3,33,21.1
Male,3,34,21.45
Male,3,35,21.81
Male,3,36,22.16
Male,3,37,22.48
Male,3,38,22.8
Male,3,39,23.11
Male,3,40,23.4
Male,3,41,23.7
Male,3,42,23.98
Male,3,43,24.25
Male,3,44,24.52
Male,3,45,24.78
Male,3,46,25.02
Male,3,47,25.27
Male,3,48,25.48
Male,3,49,25.7
Male,3,50,25.92
Male,4,16,12.85
Male,4,17,13.46
Male,4,18,14.055
Male,4,19,14.63
Male,4,20,15.195
Male,4,21,15.734
Male,4,22,16.27
Male,4,23,16.77
Male,4,24,17.27
Male,4,25,17.75
Male,4,26,18.2
Male,4,27,18.66
Male,4,28,19.1
Male,4,29,19.52
Male,4,30,19.94
Male,4,31,20.33
Male,4,32,20.72
Male,4,33,21.1
Male,4,34,21.45
Male,4,35,21.8
Male,4,36,22.14
Male,4,37,22.47
Male,4,38,22.8
Male,4,39,23.11
Male,4,40,23.4
Male,4,41,23.69
Male,4,42,23.97
Male,4,43,24.25
Male,4,44,24.52
Male,4,45,24.77
Male,4,46,25.02
Male,4,47,25.25
Male,4,48,25.47
Male,4,49,25.7
Male,4,50,25.9
Male,5,15,12.22
Male,5,16,12.85
Male,5,17,13.46
Male,5,18,14.055
Male,5,19,14.63
Male,5,20,15.19
Male,5,21,15.734
Male,5,22,16.27
Male,5,23,16.77
Male,5,24,17.27
Male,5,25,17.73
Male,5,26,18.2
Male,5,27,18.66
Male,5,28,19.1
Male,5,29,19.52
Male,5,30,19.92
Male,5,31,20.33
Male,5,32,20.72
Male,5,33,21.08
Male,5,34,21.45
Male,5,35,21.8
Male,5,36,22.14
Male,5,37,22.47
Male,5,38,22.78
Male,5,39,23.1
Male,5,40,23.39
Male,5,41,23.69
Male,5,42,23.97
Male,5,43,24.23
Male,5,44,24.5
Male,5,45,24.75
Male,5,46,25.0
Male,5,47,25.23
Male,5,48,25.45
Male,5,49,25.69
Male,5,50,25.89
Male,6,14,11.56
Male,6,15,12.22
Male,6,16,12.84
Male,6,17,13.46
Male,6,18,14.055
Male,6,19,14.63
Male,6,20,15.19
Male,6,21,15.734
Male,6,22,16.25
Male,6,23,16.77
Male,6,24,17.27
Male,6,25,17.73
Male,6,26,18.2
Male,6,27,18.66
Male,6,28,19.1
Male,6,29,19.52
Male,6,30,19.92
Male,6,31,20.33
Male,6,32,20.7
